acc	filename	drs_id	filetype	sample_name	mapped	sequencing_type
SRR1599296	HG00101.mapped.ILLUMINA.bwa.GBR.exome.20121211.bam.bai	7e52911bfd665efd35099bb0318dbab3	bai	HG00101	mapped	exome
SRR1600399	HG00101.mapped.ILLUMINA.bwa.GBR.low_coverage.20130415.bam	0db0048ed8a6d0d845dfba490b4aa6a4	bam	HG00101	mapped	low_coverage
SRR1600399	HG00101.unmapped.ILLUMINA.bwa.GBR.low_coverage.20130415.bam	b340629cd1fbb6982758fb60c58a8358	bam	HG00101	unmapped	low_coverage
SRR1599296	HG00101.unmapped.ILLUMINA.bwa.GBR.exome.20121211.bam	5e192500e8bf2c7aadc39ea48541a74d	bam	HG00101	unmapped	exome
SRR1599296	HG00101.mapped.ILLUMINA.bwa.GBR.exome.20121211.bam	b2391be11c1c177161275c0a9f646489	bam	HG00101	mapped	exome
SRR1599297	HG00102.mapped.ILLUMINA.bwa.GBR.exome.20121211.bam.bai	5a74e53638d1d7ecb6ef3397746e58fe	bai	HG00102	mapped	exome
SRR1599297	HG00102.unmapped.ILLUMINA.bwa.GBR.exome.20121211.bam	15517c938b8da29427df89c972ca4fad	bam	HG00102	unmapped	exome
SRR1599297	HG00102.mapped.ILLUMINA.bwa.GBR.exome.20121211.bam	79dc4afd0889e52713e4d9e433728a8e	bam	HG00102	mapped	exome
SRR1600401	HG00102.unmapped.ILLUMINA.bwa.GBR.low_coverage.20130415.bam	20865082b0ae1e45ccae69161b75d73e	bam	HG00102	unmapped	low_coverage
SRR1600401	HG00102.mapped.ILLUMINA.bwa.GBR.low_coverage.20130415.bam	6a750dc58b38bad626ca7d93ea7c4165	bam	HG00102	mapped	low_coverage
SRR1596639	HG00103.mapped.ILLUMINA.bwa.GBR.exome.20120522.bam	306a316fab8a4f73cf6af430528e756c	bam	HG00103	mapped	exome
SRR1596639	HG00103.unmapped.ILLUMINA.bwa.GBR.exome.20120522.bam	72eccff1ef675385beb15c8ca89b0fe2	bam	HG00103	unmapped	exome
SRR1596640	HG00103.unmapped.ILLUMINA.bwa.GBR.low_coverage.20120522.bam	2d355139e1c8fe220efbf47f0e050bcf	bam	HG00103	unmapped	low_coverage
SRR1596640	HG00103.mapped.ILLUMINA.bwa.GBR.low_coverage.20120522.bam	a09f7acc6a736daae40f689b8c9e40c2	bam	HG00103	mapped	low_coverage
SRR1600403	HG00105.unmapped.ILLUMINA.bwa.GBR.low_coverage.20130415.bam	7d2931f4cc5c9975253866b2295a5c86	bam	HG00105	unmapped	low_coverage
SRR1600403	HG00105.mapped.ILLUMINA.bwa.GBR.low_coverage.20130415.bam	f91cb87463630f3681ce81c7466bbcb8	bam	HG00105	mapped	low_coverage
SRR1599298	HG00105.unmapped.ILLUMINA.bwa.GBR.exome.20130415.bam	09654c8560efbfda92d3c2de0a4d31a0	bam	HG00105	unmapped	exome
SRR1599298	HG00105.mapped.ILLUMINA.bwa.GBR.exome.20130415.bam	c08947a16c182f4802161925ade17182	bam	HG00105	mapped	exome
SRR1600405	HG00106.mapped.ILLUMINA.bwa.GBR.low_coverage.20121211.bam.bai	dc98ccc1a5fbac7f8a61e7442b145dd8	bai	HG00106	mapped	low_coverage
SRR1599299	HG00106.mapped.ILLUMINA.bwa.GBR.exome.20130415.bam	8022016045dcd32b776c086b997e37fd	bam	HG00106	mapped	exome
SRR1599299	HG00106.unmapped.ILLUMINA.bwa.GBR.exome.20130415.bam	8584ab063b1bd8b7d3f86d15c03601d4	bam	HG00106	unmapped	exome
SRR1600405	HG00106.unmapped.ILLUMINA.bwa.GBR.low_coverage.20121211.bam	1fd5e7adf7eb95a05d3ebe267e794e80	bam	HG00106	unmapped	low_coverage
SRR1600405	HG00106.mapped.ILLUMINA.bwa.GBR.low_coverage.20121211.bam	2e8ceaf2dabeb44d1751b9551cbc8cdb	bam	HG00106	mapped	low_coverage
SRR1599300	HG00107.mapped.ILLUMINA.bwa.GBR.exome.20121211.bam.bai	e74fcbca594e8adc376fc9651d846874	bai	HG00107	mapped	exome
SRR1599300	HG00107.mapped.ILLUMINA.bwa.GBR.exome.20121211.bam	0ed638e33e149679c5b00b47828d5c54	bam	HG00107	mapped	exome
SRR1599300	HG00107.unmapped.ILLUMINA.bwa.GBR.exome.20121211.bam	97e94cd9d7b97032930c811cefc260da	bam	HG00107	unmapped	exome
SRR1600407	HG00107.unmapped.ILLUMINA.bwa.GBR.low_coverage.20130415.bam	b148f053a564a7ea31892c7a9abcce46	bam	HG00107	unmapped	low_coverage
SRR1600407	HG00107.mapped.ILLUMINA.bwa.GBR.low_coverage.20130415.bam	cde54bf2365c92ad70c8af8920551bc2	bam	HG00107	mapped	low_coverage
SRR1596642	HG00108.unmapped.ILLUMINA.bwa.GBR.low_coverage.20120522.bam	6cc07ab81eb19cf68c8730d2adc0d45e	bam	HG00108	unmapped	low_coverage
SRR1596642	HG00108.mapped.ILLUMINA.bwa.GBR.low_coverage.20120522.bam	99fda70b0204af7722a45f95fc2b794c	bam	HG00108	mapped	low_coverage
SRR1596641	HG00108.unmapped.ILLUMINA.bwa.GBR.exome.20120522.bam	0e4f1bd5c5cc83b37d6c511dda98866c	bam	HG00108	unmapped	exome
SRR1596641	HG00108.mapped.ILLUMINA.bwa.GBR.exome.20120522.bam	84db93d0fb5a5bc101a10c1f6df2c61c	bam	HG00108	mapped	exome
SRR1599301	HG00109.mapped.ILLUMINA.bwa.GBR.exome.20121211.bam.bai	163922965da94d2d94781f0e9686dc50	bai	HG00109	mapped	exome
SRR1600409	HG00109.unmapped.ILLUMINA.bwa.GBR.low_coverage.20130415.bam	7dad175b5992052b5d5da3ae699f1b73	bam	HG00109	unmapped	low_coverage
SRR1600409	HG00109.mapped.ILLUMINA.bwa.GBR.low_coverage.20130415.bam	a0c1a79c2fa0591d34baf28ef946b9b3	bam	HG00109	mapped	low_coverage
SRR1599301	HG00109.mapped.ILLUMINA.bwa.GBR.exome.20121211.bam	bad517966dd003a62a90c5c39233a64c	bam	HG00109	mapped	exome
SRR1599301	HG00109.unmapped.ILLUMINA.bwa.GBR.exome.20121211.bam	c19a02e2fbfdcdeae95929579192eef0	bam	HG00109	unmapped	exome
SRR1600410	HG00110.mapped.ILLUMINA.bwa.GBR.exome.20121211.bam.bai	e9abc7bd54e23cc8f2ff2cb388bcd3f7	bai	HG00110	mapped	exome
SRR1600411	HG00110.unmapped.ILLUMINA.bwa.GBR.low_coverage.20130415.bam	98e63337d35a11037d4f6c2b18b16d73	bam	HG00110	unmapped	low_coverage
SRR1600411	HG00110.mapped.ILLUMINA.bwa.GBR.low_coverage.20130415.bam	d8e4528ffe60f2f3a189a21e4f535306	bam	HG00110	mapped	low_coverage
SRR1600410	HG00110.mapped.ILLUMINA.bwa.GBR.exome.20121211.bam	2f2246b012ed155487b777a3837b2134	bam	HG00110	mapped	exome
SRR1600410	HG00110.unmapped.ILLUMINA.bwa.GBR.exome.20121211.bam	9e654027808e67f23a8d435eacae99ba	bam	HG00110	unmapped	exome
SRR1596644	HG00111.mapped.ILLUMINA.bwa.GBR.low_coverage.20120522.bam	0bf03b90d5e8b340fa8498b75093fb7e	bam	HG00111	mapped	low_coverage
SRR1596644	HG00111.unmapped.ILLUMINA.bwa.GBR.low_coverage.20120522.bam	70fa797c246c5382b85077a14c789a2b	bam	HG00111	unmapped	low_coverage
SRR1596643	HG00111.mapped.ILLUMINA.bwa.GBR.exome.20120522.bam	0dc7dbc681267c8730ee93e15d49e623	bam	HG00111	mapped	exome
SRR1596643	HG00111.unmapped.ILLUMINA.bwa.GBR.exome.20120522.bam	22926ebdccc67545127eadae7ef8d55e	bam	HG00111	unmapped	exome
SRR1599303	HG00112.mapped.ILLUMINA.bwa.GBR.exome.20130415.bam.bai	eb08761d1193b07a590d18e7fbbff909	bai	HG00112	mapped	exome
SRR1596645	HG00112.mapped.ILLUMINA.bwa.GBR.low_coverage.20120522.bam	87f8154610c5a567c3496840aaf411ab	bam	HG00112	mapped	low_coverage
SRR1596645	HG00112.unmapped.ILLUMINA.bwa.GBR.low_coverage.20120522.bam	f9f84d7319d65cc2ce7cc1c534e3519d	bam	HG00112	unmapped	low_coverage
SRR1599303	HG00112.mapped.ILLUMINA.bwa.GBR.exome.20130415.bam	3222cb360c23a5d385d896d07f5db4bd	bam	HG00112	mapped	exome
SRR1599303	HG00112.unmapped.ILLUMINA.bwa.GBR.exome.20130415.bam	893f7b95e4463f7c1eb2495f35387130	bam	HG00112	unmapped	exome
SRR1600413	HG00113.mapped.ILLUMINA.bwa.GBR.exome.20121211.bam.bai	42c1725ef518122188d9359eed8ad231	bai	HG00113	mapped	exome
SRR1600414	HG00113.unmapped.ILLUMINA.bwa.GBR.low_coverage.20130415.bam	163481ebb4148cc235cc4d7c536043ad	bam	HG00113	unmapped	low_coverage
SRR1600414	HG00113.mapped.ILLUMINA.bwa.GBR.low_coverage.20130415.bam	804ef4fd53dbfbb01eafb38bb4f9e7d5	bam	HG00113	mapped	low_coverage
SRR1600413	HG00113.mapped.ILLUMINA.bwa.GBR.exome.20121211.bam	65fef03c020f326f52f4688c0c093ad9	bam	HG00113	mapped	exome
SRR1600413	HG00113.unmapped.ILLUMINA.bwa.GBR.exome.20121211.bam	a5e01c4cd4674e4635856695e2472da8	bam	HG00113	unmapped	exome
SRR1596647	HG00114.unmapped.ILLUMINA.bwa.GBR.low_coverage.20120522.bam	cf7226d3ba19141d3e184049622217d6	bam	HG00114	unmapped	low_coverage
SRR1596647	HG00114.mapped.ILLUMINA.bwa.GBR.low_coverage.20120522.bam	ff24b0b3dece47edb91dcbc65ec22e88	bam	HG00114	mapped	low_coverage
SRR1596646	HG00114.unmapped.ILLUMINA.bwa.GBR.exome.20120522.bam	26b5d7b5de7015f0cca10e3b81300694	bam	HG00114	unmapped	exome
SRR1596646	HG00114.mapped.ILLUMINA.bwa.GBR.exome.20120522.bam	bb28b3f7235f2832975c255078a36709	bam	HG00114	mapped	exome
SRR1600416	HG00115.unmapped.ILLUMINA.bwa.GBR.low_coverage.20130415.bam	45b47654f5c6dfc5b54fff0b648fea9a	bam	HG00115	unmapped	low_coverage
SRR1600416	HG00115.mapped.ILLUMINA.bwa.GBR.low_coverage.20130415.bam	d4dc212453d75fa14cdf2e192c11be18	bam	HG00115	mapped	low_coverage
SRR1599305	HG00115.mapped.ILLUMINA.bwa.GBR.exome.20130415.bam	a3a904fb7e76145485957294c995256a	bam	HG00115	mapped	exome
SRR1599305	HG00115.unmapped.ILLUMINA.bwa.GBR.exome.20130415.bam	d8c0e4bf97da084e3f7a164f9a1a407a	bam	HG00115	unmapped	exome
SRR1596649	HG00116.mapped.ILLUMINA.bwa.GBR.low_coverage.20120522.bam	4e70a9d1097c54bdaae78067e1829cba	bam	HG00116	mapped	low_coverage
SRR1596649	HG00116.unmapped.ILLUMINA.bwa.GBR.low_coverage.20120522.bam	577269e7db781803c5c5581dca4badb9	bam	HG00116	unmapped	low_coverage
SRR1596648	HG00116.unmapped.ILLUMINA.bwa.GBR.exome.20120522.bam	4385258c6b87b0bb9a55b87575a543ec	bam	HG00116	unmapped	exome
SRR1596648	HG00116.mapped.ILLUMINA.bwa.GBR.exome.20120522.bam	c98bd4ce42ed9e5ddc9f9df76ee87eaf	bam	HG00116	mapped	exome
SRR1596650	HG00117.unmapped.ILLUMINA.bwa.GBR.exome.20120522.bam	ad092c782f219df931fda993dff03b6f	bam	HG00117	unmapped	exome
SRR1596650	HG00117.mapped.ILLUMINA.bwa.GBR.exome.20120522.bam	ec00d7d681a5a70e82660d2b78d3e630	bam	HG00117	mapped	exome
SRR1596651	HG00117.mapped.ILLUMINA.bwa.GBR.low_coverage.20120522.bam	3855ad801bab873d9bec248dd3c260dd	bam	HG00117	mapped	low_coverage
SRR1596651	HG00117.unmapped.ILLUMINA.bwa.GBR.low_coverage.20120522.bam	b0bfc5a0d353b37430ed6a5b5d4011a5	bam	HG00117	unmapped	low_coverage
SRR1600418	HG00118.mapped.ILLUMINA.bwa.GBR.low_coverage.20121211.bam.bai	e6d89776b41eb867db157a646f75ed59	bai	HG00118	mapped	low_coverage
SRR1600418	HG00118.unmapped.ILLUMINA.bwa.GBR.low_coverage.20121211.bam	6bb656f954a095f3c94b0d0e2308ccc1	bam	HG00118	unmapped	low_coverage
SRR1600418	HG00118.mapped.ILLUMINA.bwa.GBR.low_coverage.20121211.bam	6e9561a48a0b5fe3d034a03191495679	bam	HG00118	mapped	low_coverage
SRR1600417	HG00118.mapped.ILLUMINA.bwa.GBR.exome.20130415.bam	01f0222ac686796b99eb188e4f220904	bam	HG00118	mapped	exome
SRR1600417	HG00118.unmapped.ILLUMINA.bwa.GBR.exome.20130415.bam	4a52fa6ed2a0b70f20b9bccd0353c80d	bam	HG00118	unmapped	exome
SRR1596653	HG00119.mapped.ILLUMINA.bwa.GBR.low_coverage.20120522.bam	73186224dbaaa93466042c799048b136	bam	HG00119	mapped	low_coverage
SRR1596653	HG00119.unmapped.ILLUMINA.bwa.GBR.low_coverage.20120522.bam	d495e52554c8490e28598337352cb790	bam	HG00119	unmapped	low_coverage
SRR1596652	HG00119.unmapped.ILLUMINA.bwa.GBR.exome.20120522.bam	580682fd18b1a8a36273a950dd4ae2fd	bam	HG00119	unmapped	exome
SRR1596652	HG00119.mapped.ILLUMINA.bwa.GBR.exome.20120522.bam	9a3dc0ac5ce98ce573e3c18f391119d8	bam	HG00119	mapped	exome
SRR1596654	HG00120.mapped.ILLUMINA.bwa.GBR.exome.20120522.bam	9acfce540333e7e35c3b635ae986576b	bam	HG00120	mapped	exome
SRR1596654	HG00120.unmapped.ILLUMINA.bwa.GBR.exome.20120522.bam	cdd518c78c8449ed48940425e7d655b8	bam	HG00120	unmapped	exome
SRR1596655	HG00120.mapped.ILLUMINA.bwa.GBR.low_coverage.20120522.bam	5485693b91a705ad67a18ecdaddfbaec	bam	HG00120	mapped	low_coverage
SRR1596655	HG00120.unmapped.ILLUMINA.bwa.GBR.low_coverage.20120522.bam	fc1505382ee1796b4712eb0dedbcb7cb	bam	HG00120	unmapped	low_coverage
SRR1599307	HG00121.mapped.ILLUMINA.bwa.GBR.exome.20121211.bam.bai	da7366705a25e11c14b32dec0ffe4ddd	bai	HG00121	mapped	exome
SRR1600420	HG00121.mapped.ILLUMINA.bwa.GBR.low_coverage.20130415.bam	2871d41ea2642e6d68a67f4be213f936	bam	HG00121	mapped	low_coverage
SRR1600420	HG00121.unmapped.ILLUMINA.bwa.GBR.low_coverage.20130415.bam	c59d00b526c1671a2a29175c1a803108	bam	HG00121	unmapped	low_coverage
SRR1599307	HG00121.mapped.ILLUMINA.bwa.GBR.exome.20121211.bam	29a1352ce6dbf507f8f4d508a1570754	bam	HG00121	mapped	exome
SRR1599307	HG00121.unmapped.ILLUMINA.bwa.GBR.exome.20121211.bam	bbe86885798ffd306f2f7e11acba241b	bam	HG00121	unmapped	exome
SRR1600423	HG00122.mapped.ILLUMINA.bwa.GBR.low_coverage.20121211.bam.bai	84bb5c5155036907affbe7cc66dd236d	bai	HG00122	mapped	low_coverage
SRR1600423	HG00122.unmapped.ILLUMINA.bwa.GBR.low_coverage.20121211.bam	1f8cbb96f8978d8bfcdc7115f797d039	bam	HG00122	unmapped	low_coverage
SRR1600423	HG00122.mapped.ILLUMINA.bwa.GBR.low_coverage.20121211.bam	d5c4ba474e899959772ae415858360e2	bam	HG00122	mapped	low_coverage
SRR1600421	HG00122.mapped.ILLUMINA.bwa.GBR.exome.20130415.bam	70040c5636a8d47531b5b7b2e5cd081b	bam	HG00122	mapped	exome
SRR1600421	HG00122.unmapped.ILLUMINA.bwa.GBR.exome.20130415.bam	af1bc0816253f3578eb601dca6214fa2	bam	HG00122	unmapped	exome
SRR1596657	HG00123.mapped.ILLUMINA.bwa.GBR.low_coverage.20120522.bam	8bb389ee0351943fb60ab7295b5092d1	bam	HG00123	mapped	low_coverage
SRR1596657	HG00123.unmapped.ILLUMINA.bwa.GBR.low_coverage.20120522.bam	dcf6a1d63d4ab6c0b4c35a02a0717b84	bam	HG00123	unmapped	low_coverage
SRR1596656	HG00123.mapped.ILLUMINA.bwa.GBR.exome.20120522.bam	dee516c3116e8f1482e1795c3366f87b	bam	HG00123	mapped	exome
SRR1596656	HG00123.unmapped.ILLUMINA.bwa.GBR.exome.20120522.bam	ecebb16e1eaf9f32f697bfd072b0aae6	bam	HG00123	unmapped	exome
SRR1596659	HG00124.mapped.ILLUMINA.bwa.GBR.low_coverage.20120522.bam	0a609736505d783f40f38cc2f4b84ad6	bam	HG00124	mapped	low_coverage
SRR1596659	HG00124.unmapped.ILLUMINA.bwa.GBR.low_coverage.20120522.bam	a0a14c2894f6a817057e5eed07dd53cd	bam	HG00124	unmapped	low_coverage
SRR1596658	HG00124.mapped.ILLUMINA.bwa.GBR.exome.20120522.bam	b240e11fe84c2f0a1878e40f90e2ae21	bam	HG00124	mapped	exome
SRR1596658	HG00124.unmapped.ILLUMINA.bwa.GBR.exome.20120522.bam	b559382cde42889857a06a8bf3a26f8c	bam	HG00124	unmapped	exome
SRR1596660	HG00125.mapped.ILLUMINA.bwa.GBR.exome.20120522.bam	9ade1ca6fa33f49155b984a96b9f05c8	bam	HG00125	mapped	exome
SRR1596660	HG00125.unmapped.ILLUMINA.bwa.GBR.exome.20120522.bam	e6e8938021ae453099dd61515d809cd9	bam	HG00125	unmapped	exome
SRR1596661	HG00125.mapped.ILLUMINA.bwa.GBR.low_coverage.20120522.bam	46634d5e2f3715d7b3d1c9e3aee03cca	bam	HG00125	mapped	low_coverage
SRR1596661	HG00125.unmapped.ILLUMINA.bwa.GBR.low_coverage.20120522.bam	96bf5e0b3b2a568a977dfc5140c02f4a	bam	HG00125	unmapped	low_coverage
SRR1600425	HG00126.mapped.ILLUMINA.bwa.GBR.low_coverage.20121211.bam.bai	446e6ef0297b2c4b1004174375474c0f	bai	HG00126	mapped	low_coverage
SRR1599309	HG00126.unmapped.ILLUMINA.bwa.GBR.exome.20130415.bam	ac253b679ca979616c3a54f10ede99c9	bam	HG00126	unmapped	exome
SRR1599309	HG00126.mapped.ILLUMINA.bwa.GBR.exome.20130415.bam	c920c2d573cde0550babb81084d4ca9a	bam	HG00126	mapped	exome
SRR1600425	HG00126.unmapped.ILLUMINA.bwa.GBR.low_coverage.20121211.bam	56f8541beee923bee87eddfd72e6cd44	bam	HG00126	unmapped	low_coverage
SRR1600425	HG00126.mapped.ILLUMINA.bwa.GBR.low_coverage.20121211.bam	a1ac9059668258e61a2876a8eb501be3	bam	HG00126	mapped	low_coverage
SRR1596663	HG00127.unmapped.ILLUMINA.bwa.GBR.low_coverage.20120522.bam	19a426c5cb91d1390e91450a19392398	bam	HG00127	unmapped	low_coverage
SRR1596663	HG00127.mapped.ILLUMINA.bwa.GBR.low_coverage.20120522.bam	9ba94434f4d049a2fec9a1f215867172	bam	HG00127	mapped	low_coverage
SRR1596662	HG00127.unmapped.ILLUMINA.bwa.GBR.exome.20120522.bam	6889cc95c5178c8d05f7295b49c89cec	bam	HG00127	unmapped	exome
SRR1596662	HG00127.mapped.ILLUMINA.bwa.GBR.exome.20120522.bam	e277c11939483c5c25ddd2e29287c40c	bam	HG00127	mapped	exome
SRR1599310	HG00128.mapped.ILLUMINA.bwa.GBR.exome.20130415.bam	6bd81df578f196109b6df79a6f1cabdc	bam	HG00128	mapped	exome
SRR1599310	HG00128.unmapped.ILLUMINA.bwa.GBR.exome.20130415.bam	bddb621a864715ae9ab5190349025c1f	bam	HG00128	unmapped	exome
SRR1600427	HG00128.unmapped.ILLUMINA.bwa.GBR.low_coverage.20130415.bam	6d3fa994dd3f70dfd5cae944d9743d76	bam	HG00128	unmapped	low_coverage
SRR1600427	HG00128.mapped.ILLUMINA.bwa.GBR.low_coverage.20130415.bam	af00f2b272e78e22f6cf2c4bbed91114	bam	HG00128	mapped	low_coverage
SRR1600428	HG00129.unmapped.ILLUMINA.bwa.GBR.exome.20130415.bam	32b714d9bedf1d8f96618034eeba076f	bam	HG00129	unmapped	exome
SRR1600428	HG00129.mapped.ILLUMINA.bwa.GBR.exome.20130415.bam	e52e3b0b68e4820099af23e26f39389b	bam	HG00129	mapped	exome
SRR1600429	HG00129.mapped.ILLUMINA.bwa.GBR.low_coverage.20130415.bam	3709a8de3f0c046ee87510c78049a181	bam	HG00129	mapped	low_coverage
SRR1600429	HG00129.unmapped.ILLUMINA.bwa.GBR.low_coverage.20130415.bam	64fedad8e417cefe8e174547cd3d5990	bam	HG00129	unmapped	low_coverage
SRR1600431	HG00130.mapped.ILLUMINA.bwa.GBR.low_coverage.20130415.bam	826373ea3e4c49ca49d61bdd4b29a5c6	bam	HG00130	mapped	low_coverage
SRR1600431	HG00130.unmapped.ILLUMINA.bwa.GBR.low_coverage.20130415.bam	cd694065b07290177e046b5fa841877d	bam	HG00130	unmapped	low_coverage
SRR1600430	HG00130.mapped.ILLUMINA.bwa.GBR.exome.20130415.bam	af0807f22c1a99cce68af33934ad1623	bam	HG00130	mapped	exome
SRR1600430	HG00130.unmapped.ILLUMINA.bwa.GBR.exome.20130415.bam	d6cdd2298930563f7a583933bce9931c	bam	HG00130	unmapped	exome
SRR1596665	HG00131.mapped.ILLUMINA.bwa.GBR.low_coverage.20120522.bam	c079ecbb84ef607d1205217ccdb9164f	bam	HG00131	mapped	low_coverage
SRR1596665	HG00131.unmapped.ILLUMINA.bwa.GBR.low_coverage.20120522.bam	c6620a5d1f50e7c7a761598a27695540	bam	HG00131	unmapped	low_coverage
SRR1596664	HG00131.unmapped.ILLUMINA.bwa.GBR.exome.20120522.bam	a96d5508ad7b603c6ae1b2c073ad665f	bam	HG00131	unmapped	exome
SRR1596664	HG00131.mapped.ILLUMINA.bwa.GBR.exome.20120522.bam	b5a39663b0c0994b86ba2105071b1081	bam	HG00131	mapped	exome
SRR1600433	HG00132.mapped.ILLUMINA.bwa.GBR.low_coverage.20130415.bam	73d17e0688427f879b84d8ef180fe65a	bam	HG00132	mapped	low_coverage
SRR1600433	HG00132.unmapped.ILLUMINA.bwa.GBR.low_coverage.20130415.bam	de2841775ef9b801ed22a52875743413	bam	HG00132	unmapped	low_coverage
SRR1600432	HG00132.unmapped.ILLUMINA.bwa.GBR.exome.20130415.bam	210d47effaf592a75dee808d623718b2	bam	HG00132	unmapped	exome
SRR1600432	HG00132.mapped.ILLUMINA.bwa.GBR.exome.20130415.bam	d520afb6a82984bebb82bd81ab42871b	bam	HG00132	mapped	exome
SRR1596667	HG00133.unmapped.ILLUMINA.bwa.GBR.low_coverage.20120522.bam	166d08b48377f441dc4ec7897c485046	bam	HG00133	unmapped	low_coverage
SRR1596667	HG00133.mapped.ILLUMINA.bwa.GBR.low_coverage.20120522.bam	d444896ae3f573c082d895729129947d	bam	HG00133	mapped	low_coverage
SRR1596666	HG00133.unmapped.ILLUMINA.bwa.GBR.exome.20120522.bam	6cd6ef5caf3fe6184cce4760f6f039c8	bam	HG00133	unmapped	exome
SRR1596666	HG00133.mapped.ILLUMINA.bwa.GBR.exome.20120522.bam	c9ed2b0a4191edc54f331eba666a6e58	bam	HG00133	mapped	exome
SRR1596668	HG00136.mapped.ILLUMINA.bwa.GBR.exome.20120522.bam	7ad26d08038e0b65c949cc0ec28c7dcb	bam	HG00136	mapped	exome
SRR1596668	HG00136.unmapped.ILLUMINA.bwa.GBR.exome.20120522.bam	d54c0d55c7476a0277a5648fc6225462	bam	HG00136	unmapped	exome
SRR1596669	HG00136.unmapped.ILLUMINA.bwa.GBR.low_coverage.20120522.bam	655817889d1495e2b7232a38167d0e43	bam	HG00136	unmapped	low_coverage
SRR1596669	HG00136.mapped.ILLUMINA.bwa.GBR.low_coverage.20120522.bam	7665d02c767a3bd75d45a05ffac4d536	bam	HG00136	mapped	low_coverage
SRR1596670	HG00137.unmapped.ILLUMINA.bwa.GBR.exome.20120522.bam	10e2e7ba91f1c376b0bbe046f4ffd4bb	bam	HG00137	unmapped	exome
SRR1596670	HG00137.mapped.ILLUMINA.bwa.GBR.exome.20120522.bam	88694ccc89039ad8e1627d63ee9ae9bd	bam	HG00137	mapped	exome
SRR1596671	HG00137.mapped.ILLUMINA.bwa.GBR.low_coverage.20120522.bam	7dd71b9b42208dcb1997a9afa51c645c	bam	HG00137	mapped	low_coverage
SRR1596671	HG00137.unmapped.ILLUMINA.bwa.GBR.low_coverage.20120522.bam	e73390718189acd36f38f621dc64fb44	bam	HG00137	unmapped	low_coverage
SRR1596673	HG00138.mapped.ILLUMINA.bwa.GBR.low_coverage.20120522.bam	4ac919ec7447695b7e1fb262eeb31452	bam	HG00138	mapped	low_coverage
